Time, C, R, AVG
0.034, 8.606695E-08, -1.463514E-06, -7.016365E-07
0.0341, 8.536893E-08, -1.46995E-06, -7.052515E-07
0.0342, 8.832837E-08, -1.476445E-06, -7.070982E-07
0.0343, 8.47014E-08, -1.47119E-06, -7.062102E-07
0.0344, 8.379057E-08, -1.461899E-06, -7.019349E-07
0.0345, 8.057341E-08, -1.446626E-06, -6.957532E-07
0.0346, 7.738672E-08, -1.433357E-06, -6.905748E-07
0.0347, 7.804702E-08, -1.408507E-06, -6.776182E-07
0.0348, 7.895748E-08, -1.383687E-06, -6.645533E-07
0.0349, 8.046744E-08, -1.351637E-06, -6.475191E-07
0.035, 8.70689E-08, -1.326854E-06, -6.31675E-07
0.0351, 9.729734E-08, -1.301997E-06, -6.140104E-07
0.0352, 1.025405E-07, -1.295171E-06, -6.079629E-07
0.0353, 9.103747E-08, -1.288206E-06, -6.10078E-07
0.0354, 7.768293E-08, -1.272537E-06, -6.08679E-07
0.0355, 7.571757E-08, -1.245053E-06, -5.95674E-07
0.0356, 8.965633E-08, -1.232165E-06, -5.822698E-07
0.0357, 1.143166E-07, -1.23618E-06, -5.721857E-07
0.0358, 1.410862E-07, -1.239035E-06, -5.604752E-07
0.0359, 1.62628E-07, -1.223014E-06, -5.417398E-07
0.036, 1.831755E-07, -1.201349E-06, -5.206245E-07
0.0361, 1.950582E-07, -1.190238E-06, -5.091339E-07
0.0362, 1.968489E-07, -1.181666E-06, -5.03896E-07
0.0363, 1.883662E-07, -1.170099E-06, -5.021872E-07
0.0364, 1.782592E-07, -1.147253E-06, -4.955429E-07
0.0365, 1.631897E-07, -1.132318E-06, -4.953602E-07
0.0366, 1.417997E-07, -1.122212E-06, -5.007398E-07
0.0367, 1.167374E-07, -1.098933E-06, -5.012283E-07
0.0368, 1.096275E-07, -1.059486E-06, -4.846717E-07
0.0369, 1.140891E-07, -1.002161E-06, -4.533377E-07
0.037, 1.236573E-07, -9.495396E-07, -4.218845E-07
0.0371, 1.094682E-07, -9.01682E-07, -4.045331E-07
0.0372, 8.471662E-08, -8.725754E-07, -4.019068E-07
0.0373, 6.45783E-08, -8.632842E-07, -4.070852E-07
0.0374, 7.046632E-08, -8.765899E-07, -4.109539E-07
0.0375, 8.816124E-08, -8.771697E-07, -4.025487E-07
0.0376, 8.532359E-08, -8.626678E-07, -3.96572E-07
0.0377, 5.828083E-08, -8.418249E-07, -3.992729E-07
0.0378, 2.209447E-08, -8.367243E-07, -4.144717E-07
0.0379, 1.706379E-08, -8.420671E-07, -4.196611E-07
0.038, 2.871101E-08, -8.346474E-07, -4.101628E-07
0.0381, 5.224838E-08, -8.185161E-07, -3.903903E-07
0.0382, 7.17565E-08, -8.144063E-07, -3.787096E-07
