time	8kHz80dB	8kHz70dB	8kHz60dB	8kHz55dB	8kHz50dB	8kHz50dB	8kHz45dB	8kHz45dB	8kHz40dB	8kHz40dB	8kHz35dB	8kHz35dB	8kHz30dB	8kHz30dB
0.00540673	-0.000353178	0.0420502	-0.0539346	-0.364134	-0.220421	-0.146877	-0.0367603	0.0445849	0.0281072	0.128592	0.166678	-0.24959	0.0787138	0.271353
0.00544769	-0.0237773	0.0327661	-0.0241188	-0.363896	-0.258272	-0.141866	-0.0661588	0.0145624	0.0435636	0.110736	0.190018	-0.222799	0.0708776	0.260691
0.00548865	-0.0367736	0.0211415	0.00520683	-0.373443	-0.283875	-0.134287	-0.087323	-0.00585847	0.0559746	0.0842197	0.203893	-0.190699	0.0677275	0.254927
0.00552961	-0.0343036	0.00647881	0.0327533	-0.384784	-0.292878	-0.11879	-0.101325	-0.0235584	0.0593305	0.058198	0.207964	-0.157302	0.074414	0.259568
0.00557057	-0.0188451	-0.0109261	0.0539624	-0.388654	-0.293555	-0.0981886	-0.112671	-0.0444958	0.0510808	0.044567	0.205308	-0.126036	0.0875011	0.276054
0.00561153	-0.00156197	-0.0292589	0.0605132	-0.381689	-0.294314	-0.078949	-0.125335	-0.0686271	0.036119	0.0503468	0.201262	-0.10631	0.0994513	0.301502
0.00565249	0.00524445	-0.0430727	0.0448964	-0.368854	-0.296592	-0.0629375	-0.144074	-0.0930019	0.0235028	0.0693523	0.202233	-0.109418	0.103196	0.330191
0.00569345	-0.00335078	-0.0465777	0.003071	-0.35857	-0.298867	-0.0485193	-0.173329	-0.113358	0.0209968	0.0851454	0.213133	-0.134807	0.0959164	0.355211
0.00573441	-0.0246792	-0.0400604	-0.0627614	-0.357386	-0.301045	-0.0368508	-0.212293	-0.124235	0.0306242	0.0845575	0.235025	-0.167834	0.0832507	0.369275
0.00577537	-0.0528765	-0.028581	-0.14079	-0.366208	-0.30353	-0.0297419	-0.253058	-0.123441	0.0465335	0.0658638	0.264272	-0.190143	0.0755699	0.367609
0.00581633	-0.0836069	-0.0155414	-0.21265	-0.376227	-0.304544	-0.0254841	-0.286206	-0.114131	0.0578761	0.0363857	0.293899	-0.194051	0.0804162	0.350902
0.00585729	-0.112784	-0.00173969	-0.263636	-0.37503	-0.301399	-0.0211278	-0.307361	-0.101122	0.0545288	0.00625348	0.317516	-0.185833	0.0977424	0.327468
0.00589826	-0.138131	0.0103077	-0.286655	-0.355748	-0.292259	-0.0155481	-0.316844	-0.086265	0.0370309	-0.0208568	0.331277	-0.177965	0.120813	0.310107
0.00593922	-0.160148	0.0169794	-0.284627	-0.321675	-0.274335	-0.0080215	-0.317965	-0.0688143	0.0159825	-0.0465477	0.335186	-0.178203	0.14228	0.309271
0.00598018	-0.180734	0.019255	-0.271052	-0.2833	-0.247193	0.00514576	-0.314897	-0.0465179	0.000386082	-0.0688104	0.331027	-0.186166	0.158211	0.326664
0.00602114	-0.202311	0.0214148	-0.265255	-0.249103	-0.21732	0.02697	-0.312545	-0.0216759	-0.00825782	-0.078274	0.320159	-0.197785	0.167246	0.356476
0.0060621	-0.223475	0.0264002	-0.278115	-0.221496	-0.19467	0.0563714	-0.313981	-0.00215488	-0.0135529	-0.0715115	0.304783	-0.211067	0.171628	0.389913
0.00610306	-0.240836	0.0329021	-0.306161	-0.197808	-0.186205	0.0858283	-0.315776	0.00502371	-0.0206983	-0.0573595	0.287987	-0.223938	0.177077	0.418335
0.00614402	-0.252048	0.0337447	-0.342823	-0.173008	-0.194649	0.102242	-0.309158	-0.00184902	-0.0334315	-0.0473566	0.275425	-0.231295	0.186019	0.43566
0.00618498	-0.257638	0.0239051	-0.384432	-0.140332	-0.21616	0.0922627	-0.287899	-0.0204476	-0.0517117	-0.0475115	0.275082	-0.229849	0.195163	0.438945
